Kt*_C_A_Cha,ΔKt*_C_A_Cha,Kt*_Cy_A_Cha,ΔKt*_Cy_A_Cha,Kt*_I_A_Cha,ΔKt*_I_A_Cha,Kt*_AD_A_Cha,ΔKt*_AD_A_Cha
0.9526,-0.0063,0.3476,0.0701,0.8983,-0.0958,0.9526,-0.0063
0.9463,0.0059,0.4177,0.4283,0.8026,0.1011,0.9463,0.0059
0.9522,0.0017,0.8460,-0.8460,0.9036,-0.0948,0.9522,0.0017
0.9539,0.0095,0.3984,0.0227,0.8089,0.1272,0.9539,0.0095
0.9635,-0.0012,0.4210,-0.0698,0.9361,0.0099,0.9635,-0.0012
0.9623,-0.0037,0.3512,0.0731,0.9460,0.0150,0.9623,-0.0037
0.9586,0.0079,0.4243,0.0357,0.9610,-0.1142,0.9586,0.0079
0.9665,-0.0105,0.4600,0.0203,0.8468,-0.3562,0.9665,-0.0105
0.9560,0.0065,0.4803,0.0208,0.4906,0.3606,0.9560,0.0065
0.9626,0.0015,0.5011,0.0709,0.8512,-0.0343,0.9626,0.0015
0.9640,-0.0057,0.5720,0.1236,0.8169,-0.0887,0.9640,-0.0057
0.9584,0.0021,0.6957,0.0803,0.7283,0.1341,0.9584,0.0021
0.9604,-0.0039,0.7760,-0.0731,0.8624,0.0062,0.9604,-0.0039
0.9565,-0.0008,0.7029,-0.1217,0.8686,0.0267,0.9565,-0.0008
0.9557,-0.0012,0.5813,-0.1770,0.8953,-0.0141,0.9557,-0.0012
0.9544,0.0051,0.4042,0.0197,0.8812,-0.0174,0.9544,0.0051
0.9595,-0.0044,0.4239,0.0022,0.8638,-0.0124,0.9595,-0.0044
0.9551,0.0076,0.4261,0.1355,0.8514,0.0014,0.9551,0.0076
0.9627,-0.0083,0.5616,0.0113,0.8527,0.0221,0.9627,-0.0083
0.9544,-0.0110,0.5729,-0.0400,0.8749,-0.0122,0.9544,-0.0110
0.9434,0.0111,0.5329,-0.0092,0.8626,-0.0226,0.9434,0.0111
0.9546,-0.0387,0.5237,-0.1328,0.8400,-0.0171,0.9546,-0.0387
0.9159,0.0293,0.3909,0.0312,0.8229,-0.0094,0.9159,0.0293
0.9452,0.0228,0.4222,-0.0857,0.8134,0.0814,0.9452,0.0228
0.9680,-0.0038,0.3365,0.2694,0.8948,-0.8948,0.9680,-0.0038
0.9641,-0.0148,0.6059,-0.0721,0.4089,0.1835,0.9641,-0.0148
0.9494,0.0027,0.5338,-0.5338,0.5924,0.0920,0.9494,0.0027
0.9521,0.0167,0.8677,-0.3406,0.6844,0.0497,0.9521,0.0167
0.9688,-0.0039,0.5271,-0.0466,0.7341,0.0406,0.9688,-0.0039
0.9649,0.0139,0.4804,0.0014,0.7747,0.0105,0.9649,0.0139
0.9788,-0.0086,0.4818,0.0896,0.7852,0.0162,0.9788,-0.0086
0.9702,0.0109,0.5714,0.0787,0.8014,0.0233,0.9702,0.0109
0.9811,0.0044,0.6501,-0.0252,0.8246,0.0173,0.9811,0.0044
0.9855,-0.0107,0.6249,0.1819,0.8419,0.0141,0.9855,-0.0107
0.9748,-0.0020,0.8068,-0.8068,0.8560,0.0154,0.9748,-0.0020
0.9728,0.0023,0.9645,-0.3934,0.8714,0.0247,0.9728,0.0023
0.9751,-0.0123,0.5711,0.1131,0.8960,-0.0113,0.9751,-0.0123
0.9627,0.0010,0.6843,0.2004,0.8847,-0.0001,0.9627,0.0010
0.9638,-0.0457,0.8846,-0.8846,0.8846,-0.1201,0.9638,-0.0457
0.9181,0.0540,0.9679,-0.0247,0.7646,0.1538,0.9181,0.0540
0.9721,0.0150,0.9431,-0.0596,0.9183,-0.0072,0.9721,0.0150
0.9871,0.0050,0.8836,0.0289,0.9112,0.0329,0.9871,0.0050
0.9921,-0.0031,0.9124,-0.2875,0.9441,-0.3229,0.9921,-0.0031
0.9890,0.0189,0.6249,0.2949,0.6212,0.2446,0.9890,0.0189
0.2460,0.1609,0.8800,-0.2731,0.9434,-0.0765,0.2460,0.1609
0.4070,0.1081,0.6068,0.3424,0.8669,-0.2668,0.4070,0.1081
0.5150,0.1081,0.9493,-0.1916,0.6001,-0.1435,0.5150,0.1081
0.6231,0.0339,0.7576,0.0521,0.4566,-0.1990,0.6231,0.0339
0.6570,0.0442,0.8097,0.0709,0.2576,0.2606,0.6570,0.0442
0.7012,-0.0296,0.8806,0.0064,0.5182,0.2386,0.7012,-0.0296
0.6716,0.0458,0.8870,0.0648,0.7568,0.0241,0.6716,0.0458
0.7174,-0.0801,0.9518,-0.9518,0.7809,0.0252,0.7174,-0.0801
0.6372,-0.2432,0.8254,-0.8254,0.8061,-0.3647,0.6372,-0.2432
0.3940,-0.0346,0.7369,-0.4661,0.4415,0.1385,0.3940,-0.0346
0.3594,-0.1354,0.2708,-0.0026,0.5800,0.3930,0.3594,-0.1354
0.2240,-0.0187,0.2682,-0.0315,0.9730,-0.2042,0.2240,-0.0187
0.2053,0.0480,0.2367,-0.0252,0.7688,0.0512,0.2053,0.0480
0.2533,0.0256,0.2115,0.0700,0.8200,0.1582,0.2533,0.0256
0.2790,0.0287,0.2815,0.1149,0.9782,-0.2499,0.2790,0.0287
0.3077,0.1693,0.3964,0.2855,0.7282,-0.0359,0.3077,0.1693
0.4770,0.1135,0.6819,-0.6819,0.6923,-0.2750,0.4770,0.1135
0.5905,-0.0111,0.3863,-0.0515,0.4173,0.0522,0.5905,-0.0111
0.5794,-0.2573,0.3348,0.0535,0.4695,-0.4695,0.5794,-0.2573
0.2206,0.2082,0.5036,-0.0237,0.8677,-0.1050,0.2206,0.2082
0.4288,-0.0957,0.4799,0.1953,0.7627,-0.0668,0.4288,-0.0957
0.3331,0.3047,0.6752,0.0179,0.6959,-0.6959,0.3331,0.3047
