Kt*_C_NA_Cha,ΔKt*_C_NA_Cha,Kt*_Cy_NA_Cha,ΔKt*_Cy_NA_Cha,Kt*_I_NA_Cha,ΔKt*_I_NA_Cha,Kt*_AD_NA_Cha,ΔKt*_AD_NA_Cha
0.8516,0.0091,0.0583,-0.0171,0.2474,0.0322,0.8516,0.0091
0.8608,0.0038,0.0412,0.0247,0.2796,-0.0568,0.8608,0.0038
0.8646,0.0003,0.0659,-0.0116,0.2228,0.0882,0.8646,0.0003
0.8649,-0.0001,0.0543,0.0083,0.3110,-0.0003,0.8649,-0.0001
0.8647,0.0110,0.0626,0.0216,0.3108,-0.0531,0.8647,0.0110
0.8757,0.0053,0.0842,0.0448,0.2577,-0.0041,0.8757,0.0053
0.8810,0.0069,0.1291,0.0726,0.2536,-0.0072,0.8810,0.0069
0.8879,0.0030,0.2016,0.0778,0.2464,0.0443,0.8879,0.0030
0.8909,0.0088,0.2795,0.1077,0.2907,0.2614,0.8909,0.0088
0.8997,-0.0120,0.3871,-0.0116,0.5521,-0.1857,0.8997,-0.0120
0.8877,-0.0068,0.3755,-0.0479,0.3664,-0.0356,0.8877,-0.0068
0.8809,0.0027,0.3276,0.0517,0.3308,-0.0356,0.8809,0.0027
0.8836,0.0054,0.3793,-0.1631,0.2952,-0.0210,0.8836,0.0054
0.8890,-0.0036,0.2161,-0.0646,0.2743,0.0566,0.8890,-0.0036
0.8854,0.0140,0.1515,-0.0054,0.3308,0.0419,0.8854,0.0140
0.8993,0.0007,0.1461,0.0136,0.3728,0.0890,0.8993,0.0007
0.9000,0.0033,0.1597,0.0591,0.4618,-0.0204,0.9000,0.0033
0.9033,-0.0035,0.2188,-0.0841,0.4414,0.3549,0.9033,-0.0035
0.8998,-0.0062,0.1347,-0.0942,0.7963,-0.7963,0.8998,-0.0062
0.8935,0.0110,0.0405,-0.0188,0.5374,-0.0405,0.8935,0.0110
0.9045,-0.0179,0.0217,-0.0093,0.4969,0.1217,0.9045,-0.0179
0.8866,0.0039,0.0125,-0.0012,0.6187,-0.1109,0.8866,0.0039
0.8906,0.0023,0.0113,0.0001,0.5077,0.1045,0.8906,0.0023
0.8929,-0.0145,0.0114,0.0071,0.6122,0.1635,0.8929,-0.0145
0.8784,0.0194,0.0185,0.0158,0.7756,0.0873,0.8784,0.0194
