Time,GHI_1_Jun_Pe,GHI_2_Jun_Pe,GHI_3_Jun_Pe,GHI_4_Jun_Pe,GHI_5_Jun_Pe,GHI_6_Jun_Pe,GHI_7_Jun_Pe,GHI_8_Jun_Pe,GHI_9_Jun_Pe,GHI_10_Jun_Pe,GHI_11_Jun_Pe,GHI_12_Jun_Pe,GHI_13_Jun_Pe,GHI_14_Jun_Pe,GHI_15_Jun_Pe,GHI_16_Jun_Pe,GHI_17_Jun_Pe,GHI_18_Jun_Pe,GHI_19_Jun_Pe,GHI_20_Jun_Pe,GHI_21_Jun_Pe,GHI_22_Jun_Pe,GHI_23_Jun_Pe,GHI_24_Jun_Pe,GHI_25_Jun_Pe,GHI_26_Jun_Pe,GHI_27_Jun_Pe,GHI_28_Jun_Pe,GHI_29_Jun_Pe,GHI_30_Jun_Pe
10:50:00,648.9,662.2,672.1,673,668.9,609.7,685,674.9,660.8,633.3,546.4,446.3,666.2,643.6,645.4,635,306.9,661.7,501.4,667.6,442.7,659.1,665.3,661.3,662.2,547.5,634.1,610.1,270.2,623.5
11:00:00,657.3,669.4,680.4,680.4,675.8,501.7,717.7,702.4,667.6,686.4,459.1,420.5,673.5,651.5,652.4,647.1,410.9,662.6,444.8,670.8,448.7,668,674.9,668.5,670.3,534.7,642.8,621.8,280.9,630.3
11:10:00,661.7,675.8,685,686.8,680.4,243,572.5,675.8,674.4,495.3,473.7,399.4,679.9,657.7,657.7,581.1,569,662.2,528.6,678.5,473.7,674.4,678.1,674.9,676.7,667.1,649.3,584.2,296.7,638.4
11:20:00,665.3,679.4,690.1,691,684.5,256.9,764.9,664.4,679.4,646.7,346.9,402.6,682.7,661.7,662.2,668.5,653.7,679.4,519,683.6,459.1,679,682.2,679.4,680.8,692.9,655.1,644.1,404.8,644.1
11:30:00,670.3,680.8,692.4,693.8,686.8,264.3,734.9,688.7,679.9,658.6,221,513.4,685.4,664.4,664.9,693.8,647.6,694.8,425,688.7,495,682.2,685,682.2,684.1,689.2,652.8,623.9,456,648.9
11:40:00,671.7,564,693.8,694.8,688.7,276.9,682.7,698.6,679,663.1,398.6,944.1,686.4,664.4,664.9,674.9,218.5,715.3,410.1,691,624.7,682.7,685.9,683.1,685,650.6,650.6,477.5,695.3,650.2
11:50:00,668.5,538.7,690.6,693.8,688.2,222.5,675.8,674.9,676.7,596.2,453,986.6,685,662.6,665.3,443,678.1,625.2,427.3,690.1,498.3,681.3,685.4,683.1,684.1,661.3,656.8,539.4,317.3,649.3
12:00:00,664.9,646.2,686.8,692,683.6,340.4,671.2,647.1,673,637.6,390.6,725.5,681.7,659.9,662.2,740.9,626.4,629.4,497.3,674.9,430.8,679.9,683.1,681.3,681.7,619.7,655.9,631.5,324.9,647.6
12:10:00,657.3,582.3,681.7,689.6,679.4,445.4,670.8,659.5,666.2,657.3,570.2,439.1,677.1,656.8,657.7,472.4,428.8,656.8,650.6,679,449,674.9,679,675.8,677.6,635.4,652,613,414.5,644.5
12:20:00,652.4,516.9,675.3,687.3,672.6,540.1,658.6,659.5,658.6,390.8,723.6,270.2,670.3,649.8,651.5,638.4,434.1,664.9,767,676.7,489.3,668.5,672.1,669.4,671.2,615.5,645.8,585.4,404.3,637.6
