Kt*_C_A_Nzi,ΔKt*_C_A_Nzi,Kt*_Cy_A_Nzi,ΔKt*_Cy_A_Nzi,Kt*_I_A_Nzi,ΔKt*_I_A_Nzi,Kt*_AD_A_Nzi,ΔKt*_AD_A_Nzi
0.4608,-0.1794,0.3215,-0.0595,0.9411,-0.0017,0.4608,-0.1794
0.2813,-0.0976,0.2620,0.0709,0.9394,-0.0098,0.2813,-0.0976
0.1838,0.0778,0.3329,-0.1169,0.9296,-0.0140,0.1838,0.0778
0.7077,0.2899,0.2159,-0.0258,0.9156,-0.0071,0.7077,0.2899
0.9976,-0.9976,0.1901,-0.0154,0.9085,-0.0167,0.9976,-0.9976
0.9984,-0.0007,0.8981,-0.1678,0.7231,0.0007,0.9984,-0.0007
0.9978,-0.0061,0.7303,-0.0203,0.7238,0.0585,0.9978,-0.0061
0.9917,-0.0218,0.7100,0.2753,0.7823,-0.0695,0.9917,-0.0218
0.9699,-0.9699,0.9853,-0.9853,0.7128,-0.0875,0.9699,-0.9699
0.8896,-0.8896,0.8750,-0.1060,0.6254,-0.0961,0.8896,-0.8896
0.9851,-0.9851,0.7023,-0.7023,0.3796,-0.1447,0.9851,-0.9851
0.9859,-0.0393,0.9871,-0.1859,0.0792,-0.0792,0.9859,-0.0393
0.9467,0.0409,0.8013,-0.0201,0.8184,-0.0450,0.9467,0.0409
0.9876,-0.0047,0.7812,-0.7812,0.7734,0.2143,0.9876,-0.0047
0.9828,-0.0032,0.9987,-0.0074,0.9877,-0.3088,0.9828,-0.0032
0.9796,0.0064,0.9913,-0.0065,0.6789,0.1013,0.9796,0.0064
0.9860,-0.0510,0.9848,-0.0091,0.7803,-0.7803,0.9860,-0.0510
0.9351,0.0216,0.9757,0.0008,0.8509,-0.2564,0.9351,0.0216
0.9567,0.0445,0.9764,0.0012,0.5945,0.1999,0.9567,0.0445
0.9923,-0.2807,0.9792,-0.0022,0.8846,-0.4460,0.9923,-0.2807
0.7116,0.0928,0.9769,-0.0053,0.4387,0.4037,0.7116,0.0928
0.8044,0.1746,0.9716,-0.0064,0.8423,-0.2930,0.8044,0.1746
0.9790,-0.0964,0.9652,-0.0024,0.5493,0.0859,0.9790,-0.0964
0.8825,-0.0253,0.9629,-0.0023,0.6352,0.2528,0.8825,-0.0253
0.8572,-0.0102,0.9605,-0.0056,0.8880,0.0624,0.8572,-0.0102
0.8470,-0.0914,0.9549,-0.0004,0.9503,-0.9503,0.8470,-0.0914
0.7556,-0.0538,0.9545,-0.0031,0.9929,-0.0179,0.7556,-0.0538
0.7018,-0.2221,0.9515,-0.0024,0.9750,-0.9750,0.7018,-0.2221
0.1059,-0.0387,0.9500,0.0092,0.9620,0.0466,0.1059,-0.0387
0.5537,0.1521,0.9704,0.0315,0.9958,-0.0049,0.5537,0.1521
