Time,GHI_1_Feb_MPT_1,GHI_2_Feb_MPT_1,GHI_3_Feb_MPT_1,GHI_4_Feb_MPT_1,GHI_5_Feb_MPT_1,GHI_6_Feb_MPT_1,GHI_7_Feb_MPT_1,GHI_8_Feb_MPT_1,GHI_9_Feb_MPT_1,GHI_10_Feb_MPT_1,GHI_11_Feb_MPT_1,GHI_12_Feb_MPT_1,GHI_13_Feb_MPT_1,GHI_14_Feb_MPT_1,GHI_15_Feb_MPT_1,GHI_16_Feb_MPT_1,GHI_17_Feb_MPT_1,GHI_18_Feb_MPT_1,GHI_19_Feb_MPT_1,GHI_20_Feb_MPT_1,GHI_21_Feb_MPT_1,GHI_22_Feb_MPT_1,GHI_23_Feb_MPT_1,GHI_24_Feb_MPT_1,GHI_25_Feb_MPT_1,GHI_26_Feb_MPT_1,GHI_27_Feb_MPT_1,GHI_28_Feb_MPT_1,GHI_29_Feb_MPT_1
6:44:00,183.2215,91.0120,79.0367,164.0611,211.9622,,,211.9622,188.0116,144.9007,,,,,59.8784,175.6434,167.6596,188.0116,22.6207,43.9108,77.1766,,,,149.0308,208.9092,,73.1847,26.6126
6:45:00,186.8141,92.2095,77.8392,165.2586,220.3449,,,220.3449,193.9993,147.2958,,,,,57.2172,179.6353,170.3209,193.9993,22.6207,45.2415,81.1685,,,,154.3533,186.2884,,87.8217,25.2820
6:46:00,191.6042,95.8021,80.2343,160.4685,203.5795,,,203.5795,196.3943,150.8883,,,,,58.5478,183.6272,174.3127,196.3943,21.2901,49.2334,87.8217,,,,157.0145,207.5785,,105.1199,25.2820
6:47:00,196.3943,94.6046,89.8145,158.0735,204.7770,,,204.7770,186.8141,141.3081,,,,,62.5397,187.6191,178.3046,186.8141,22.6207,53.2253,93.1442,,,,159.6758,196.9335,,106.4505,29.2739
6:48:00,199.9869,95.8021,101.7897,177.2339,199.9869,,,199.9869,174.8389,154.4809,,,,,63.8703,192.9416,180.9659,174.8389,23.9514,57.2172,95.8055,,,,163.6677,184.9578,,133.0632,29.2739
6:49:00,204.7770,98.1972,107.7774,183.2215,210.7646,,,210.7646,198.7894,158.0735,,,,,66.5316,196.9335,186.2884,198.7894,23.9514,61.2091,97.1361,,,,167.6596,202.2560,,91.8136,31.9352
6:50:00,207.1721,102.9873,110.1724,299.3816,209.5671,,,209.5671,216.7523,162.8636,,,,,65.2010,199.5947,188.9497,216.7523,25.2820,65.2010,98.4667,,,,171.6515,192.9416,,94.4749,34.5964
6:51:00,209.5671,108.9749,114.9625,350.8752,205.9745,,,205.9745,114.9625,166.4562,,,,,62.5397,203.5866,192.9416,114.9625,26.6126,65.2010,99.7974,,,,175.6434,199.5947,,123.7487,38.5883
6:52:00,211.9622,113.7650,118.5551,288.6039,100.5922,,,100.5922,83.8268,158.0735,,,,,61.2091,206.2479,196.9335,83.8268,30.6045,67.8622,99.7974,,,,178.3046,223.5461,,123.7487,45.2415
6:53:00,214.3572,117.3576,132.9254,361.6530,88.6170,,,88.6170,83.8268,167.6537,,,,,65.2010,211.5704,202.2560,83.8268,31.9352,67.8622,98.4667,,,,180.9659,240.8443,,192.9416,51.8946
6:54:00,217.9498,118.5551,136.5180,222.7399,95.8021,,,95.8021,104.1848,147.2958,,,,,74.5154,215.5623,206.2479,104.1848,33.2658,69.1928,99.7974,,,,183.6272,243.5056,,151.6920,57.2172
6:55:00,220.3449,119.7526,147.2958,250.2830,101.7897,,,101.7897,129.3328,152.0859,,,,,81.1685,220.8848,211.5704,129.3328,37.2577,67.8622,102.4586,,,,187.6191,212.9011,,199.5947,62.5397
6:56:00,221.5424,118.5551,158.0735,225.1350,180.8265,,,180.8265,105.3823,172.4438,,,,,86.4911,223.5461,214.2317,105.3823,38.5883,65.2010,105.1199,,,,190.2803,200.9254,,203.5866,65.2010
6:57:00,226.3325,117.3576,161.6661,280.2212,96.9996,,,96.9996,95.8021,158.0735,,,,,85.1604,226.2074,215.5623,95.8021,45.2415,61.2091,107.7812,,,,194.2722,183.6272,,207.5785,70.5235
6:58:00,229.9251,116.1601,164.0611,264.6533,112.5675,,,112.5675,114.9625,179.6290,,,,,82.4992,230.1993,218.2236,114.9625,53.2253,59.8784,111.7731,,,,196.9335,179.6353,,207.5785,81.1685
6:59:00,233.5176,118.5551,159.2710,354.4678,159.2710,,,159.2710,140.1106,188.0116,,,,,71.8541,230.1993,224.8767,140.1106,59.8784,59.8784,111.7731,,,,199.5947,178.3046,,214.2317,87.8217
7:00:00,237.1102,116.1601,150.8883,383.2084,132.9254,,,132.9254,140.1106,191.6042,,,,,65.2010,236.8524,228.8686,140.1106,67.8622,59.8784,113.1037,,,,202.2560,182.2965,,211.5704,95.8055
7:01:00,243.0978,119.7526,142.5056,366.4431,113.7650,,,113.7650,192.8017,185.6166,,,,,63.8703,240.8443,228.8686,192.8017,73.1847,58.5478,111.7731,,,,206.2479,188.9497,,161.0064,106.4505
7:02:00,244.2954,117.3576,136.5180,253.8756,138.9131,,,138.9131,167.6537,192.8017,,,,,67.8622,243.5056,234.1912,167.6537,79.8379,57.2172,107.7812,,,,211.5704,192.9416,,228.8686,118.4262
