Time,GHI_1_Jun_Ndza,GHI_2_Jun_Ndza,GHI_3_Jun_Ndza,GHI_4_Jun_Ndza,GHI_5_Jun_Ndza,GHI_6_Jun_Ndza,GHI_7_Jun_Ndza,GHI_8_Jun_Ndza,GHI_9_Jun_Ndza,GHI_10_Jun_Ndza,GHI_11_Jun_Ndza,GHI_12_Jun_Ndza,GHI_13_Jun_Ndza,GHI_14_Jun_Ndza,GHI_15_Jun_Ndza,GHI_16_Jun_Ndza,GHI_17_Jun_Ndza,GHI_18_Jun_Ndza,GHI_19_Jun_Ndza,GHI_20_Jun_Ndza,GHI_21_Jun_Ndza,GHI_22_Jun_Ndza,GHI_23_Jun_Ndza,GHI_24_Jun_Ndza,GHI_25_Jun_Ndza,GHI_26_Jun_Ndza,GHI_27_Jun_Ndza,GHI_28_Jun_Ndza,GHI_29_Jun_Ndza,GHI_30_Jun_Ndza,,,,,,,,,,,,
11:50:00,404,694.4,693.4,686,691.6,275.3,665.8,690.2,672.6,714.4,600.7,694.4,690.6,688.8,668.6,682.7,363.3,450.6,688.3,602,733.5,686.9,690.2,660.5,686.9,685.5,304.7,158.8,419.1,655.1,,,,,,,,,,,,
12:00:00,432.6,689.7,689.2,680.9,689.7,433.5,670.8,685.1,667.7,669.5,649.8,691.1,687.8,685.1,666.3,644.1,619.3,570.2,685.5,728.1,721.2,684.1,706.2,611,684.6,658.2,482.8,150.4,522.6,651.6,,,,,,,,,,,,
12:10:00,608.9,686,684.1,676.3,683.2,409,661.8,681.8,662.7,578.4,619.3,687.4,682.3,680,661.8,644.1,777,353.8,681.8,430.6,706.2,679.5,726.6,701.5,632,680,490,470.5,654.2,647.2,,,,,,,,,,,,
12:20:00,741.5,678.6,676.3,668.1,677.2,303.4,651.1,672.2,651.6,505.2,270.6,679,674.9,673.1,654.2,666.8,589.1,150.9,672.6,675.8,698.2,674.9,755.2,678.1,675.8,679,488.7,143.1,667.7,640.2,,,,,,,,,,,,
12:30:00,512.4,669.9,669,660,669.5,260.2,647.6,660.9,644.6,371.8,797.2,671.7,666.3,665.8,646.3,617.2,439.4,509.3,666.3,448.1,683.2,663.6,633.3,666.3,667.2,677.7,404,284.2,687.8,631.6,,,,,,,,,,,,
12:40:00,599.5,660,656,649.8,657.8,373.3,638.9,653.3,634.2,587.5,514.5,659.6,656,654.7,638.1,626.1,269.7,726.6,653.8,321.8,664.5,652,371.5,652.9,658.2,572.9,518,603.6,678.6,622.3,,,,,,,,,,,,
12:50:00,628.6,647.2,645.4,636.3,645,404.9,623.1,642,623.5,485.4,235.1,646.3,643.7,642.4,624.4,652.5,219.1,699.6,643.7,300.4,652,640.2,616,641.1,648.5,653.3,586.7,698.6,642.8,612.7,,,,,,,,,,,,
13:00:00,648.5,632.9,629.5,621.8,631.2,366.5,607.7,628.2,609.8,301.6,217.2,632.5,629.9,628.6,610.6,594.7,260.2,157.8,630.8,349.1,640.2,629.5,651.1,627.3,638.1,626.1,227.4,451.8,623.5,599.9,,,,,,,,,,,,
13:10:00,638.9,617.2,612.2,604.4,615.2,332.9,593.5,611.4,594.3,379.9,244.2,618.1,614.3,611.8,594.7,446.9,222.6,137.6,614.7,636.8,606.1,614.7,648.9,609.8,619.3,619.3,484.1,515.5,481.8,584.7,,,,,,,,,,,,
13:20:00,613.1,602.4,596.3,588.3,596.7,342.8,578,593.1,574.5,343,596.7,601.2,597.9,594.3,578.8,591.5,686.9,136.5,598.3,578.8,557.3,597.1,618.9,595.5,583.9,603.6,521.5,555,589.9,569.5,,,,,,,,,,,,
13:30:00,625.2,580.8,576.1,568.7,575.7,248,560.7,574.5,551.3,417.9,668.6,581.5,578.8,576.8,560.3,588.3,265.9,125.9,579.2,608.9,563.7,579.6,487,574.9,589.1,567.2,239.1,450.6,479.5,551.3,,,,,,,,,,,,
13:40:00,567.2,559.2,555.8,548.7,553.1,274,470.5,553.9,531.5,527.5,357.2,561.8,557.6,556.1,542,553.5,155,638.9,560.3,492.3,547.5,559.2,495.7,555.8,566.8,564.9,458.2,142.1,403.8,531.8,,,,,,,,,,,,
13:50:00,494.7,538.7,534.4,527.9,532.9,286.7,494.7,533.3,510,414,226,541.3,535.8,534.4,515.9,515.2,128.1,595.9,539.4,505.2,525.7,538,553.9,534.7,537.6,543.5,474.7,123.3,469.9,511,,,,,,,,,,,,
14:00:00,386.6,512.1,511,502.4,509.3,253.1,496,511,486.4,144.9,183,518,513.4,507.9,496.4,510.7,543.8,583.9,515.2,521.1,502.4,515.2,547.9,510,521.8,529.7,518,194.5,502.1,489.3,,,,,,,,,,,,
14:10:00,444.8,489.3,485.7,479.8,482.4,316,469.9,489.3,456.7,508.9,243.4,493.7,488,487,471.8,457.3,159.3,643.7,492,495.7,479.8,492,565.6,487.7,496.4,514.8,461.7,494.7,471.1,465.8,,,,,,,,,,,,
14:20:00,434.1,460.1,460.4,454.2,454.5,241.1,445.4,461.7,424.5,289.8,504.1,467.7,461.4,460.4,444.5,447.5,103.2,458.9,466.1,466.1,449.6,466.4,547.9,462,470.5,492.7,429.1,291.4,442.7,439.1,,,,,,,,,,,,
14:30:00,407.1,432.3,431.5,426.2,426.5,226.8,402.7,434.7,395.4,332.2,524,440.9,433.2,428.8,419.6,419.4,163.6,118.3,440.3,438.8,424.2,439.4,491.3,438.2,445.7,458.9,389.5,245,422.2,413.7,,,,,,,,,,,,
14:40:00,380.4,404.9,404.6,398.9,397.5,214.3,378.9,408.7,369.3,211.2,559.5,412.3,403.8,403.2,394.6,395.9,173.4,98,412,408.4,397.8,412.9,312.6,409.5,417.1,426.2,378.4,240.7,404.6,385.3,,,,,,,,,,,,
14:50:00,350.5,375.6,376.1,369.8,367.5,222.4,361.1,380.4,338.4,88,528.2,384,375,374.5,366,367,113.3,80.6,384.6,372.3,368.5,383.5,56.3,379.6,388,393.2,348.8,297.5,355.8,357.7,,,,,,,,,,,,
15:00:00,320.3,343.5,347,338.6,335.6,209.5,317.5,347.2,310.1,102.9,298.8,354.1,344.6,346.3,336.3,340,279.4,65.5,354.1,332,339.3,354.6,147.1,351.5,358.4,353.8,292.2,174.9,332.5,329.1,,,,,,,,,,,,
15:10:00,290.8,313.9,315.8,307.4,304.1,139.4,302.4,317.9,277.7,93.7,180.1,323.2,313.9,315.4,307.6,275.6,137.8,48.9,323.4,319.5,313.5,323.6,317.5,321.2,328.2,322.9,149.3,119.8,303,299,,,,,,,,,,,,
15:20:00,259.5,282,283.2,276.4,271.6,115.1,262.2,287.1,245.2,83.7,122.7,292.3,281.9,282.8,274,283.8,93.2,82.3,293.1,290.4,283.4,292.5,284.9,290.2,295.5,291.8,226,198,272.8,269.2,,,,,,,,,,,,
15:30:00,229.6,249,252.1,245,239.9,108.2,237.8,254.5,214.3,83.7,115,260.9,249.9,253.3,240.7,247.5,53.7,272.8,261.1,258.3,251.2,261.5,255.2,258.3,263.2,259.7,221.1,202.8,240.4,239.1,,,,,,,,,,,,
15:40:00,199.3,216.2,221.1,212.8,206.7,105,191.8,225.6,181.9,186.4,93.7,229.1,218.4,223.6,205.7,223,253.3,249.4,230.5,225.1,220,230.4,232.9,227.6,232.4,228.4,190.3,183.3,212,208.1,,,,,,,,,,,,
15:50:00,169.3,184.9,188.3,182,175.8,99.5,170.5,194.9,151.7,154.9,70.5,197.6,186,190.2,169.2,160.5,159.9,233.5,198.4,194.5,189.8,198.9,212.5,197.2,199.8,196.8,156.4,147.9,182,176.8,,,,,,,,,,,,
16:00:00,138.5,153.9,156.6,151.3,144,80.6,141.6,163.1,122,114.3,45.2,166.2,154,156,138.7,146.3,56.6,212.8,167.1,163.3,158.1,167,176.8,165.9,168.2,165.3,135.4,124.5,149.9,146.8,,,,,,,,,,,,
16:10:00,110.1,123.8,126.5,121.2,114.6,74.1,109.6,132,94,114.2,27.8,135.8,122.7,126.5,109.4,115,36.3,179.5,136.5,131.6,128,136.1,142.1,135.7,137.4,134.9,117,88,120.8,116.9,,,,,,,,,,,,
16:20:00,80.7,91.8,93.8,88.4,83.7,54.2,81.6,96.7,66.6,52.3,20.4,102.5,90,92.5,79.6,83.6,30.2,134.9,103.7,99.4,96.3,105.2,104.2,103.6,105.5,102.7,76.8,63.2,91.9,89.4,,,,,,,,,,,,
16:30:00,51.3,58.4,59.3,56,52.1,36.9,48.9,60.4,40.6,34.9,18.3,65.9,55.9,57.9,49.1,54,23.1,79.6,67.6,64.7,61.6,69.4,62.4,68.3,69,67.1,46.5,48.6,60.2,58.9,,,,,,,,,,,,
16:40:00,27.2,30.6,31,29.4,27.4,20,26.3,31,21,23,19.9,35.6,28.6,30.1,25.2,30.1,15,29.3,37.1,35.2,32.6,38.5,30,38.1,38.9,36.7,26.4,28,33.3,32.2,,,,,,,,,,,,
16:50:00,11.2,12.3,12.1,11.5,11.1,7.3,10.6,11.4,8.2,8.7,9,14.4,11.1,11.2,9.5,12.6,10.5,10.5,15.5,15,13.1,16.3,10.3,16.3,16.8,15.4,11.5,10.7,14,14.1,,,,,,,,,,,,
17:00:00,3.1,3.3,3.4,3.2,3.2,1.9,2.9,3,2.2,2.2,3.2,3.5,2.8,2.9,2.6,3.2,2.2,2.3,4.1,4.2,3.7,4.5,3.3,4.5,4.7,4.4,3.6,3.2,4.2,4.4,,,,,,,,,,,,
17:10:00,0.3,0.4,0.5,0.5,0.4,0.1,0.4,0.4,0.1,0.1,0.3,0.4,0.3,0.3,0.3,0.3,0.1,0.2,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.5,0.3,0.5,0.7,,,,,,,,,,,,
17:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
17:30:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
17:40:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
17:50:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
18:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
