Kt*_C_NA_Nzi,ΔKt*_C_NA_Nzi,Kt*_Cy_NA_Nzi,ΔKt*_Cy_NA_Nzi,Kt*_I_NA_Nzi,ΔKt*_I_NA_Nzi,Kt*_AD_NA_Nzi,ΔKt*_AD_NA_Nzi
0.4487,-0.4487,0.1204,-0.0708,0.5715,0.0738,0.4487,-0.4487
0.6551,0.2906,0.0496,0.0771,0.6453,-0.0662,0.6551,0.2906
0.9457,-0.4920,0.1267,0.0680,0.5791,0.0458,0.9457,-0.4920
0.4537,-0.4537,0.1947,-0.0234,0.6248,-0.0236,0.4537,-0.4537
0.7015,0.1187,0.1713,-0.0219,0.6012,-0.0965,0.7015,0.1187
0.8202,-0.8202,0.1495,-0.0241,0.5047,-0.0598,0.8202,-0.8202
0.6688,-0.4417,0.1254,0.0278,0.4449,0.0073,0.6688,-0.4417
0.2271,0.0071,0.1531,-0.0114,0.4522,-0.0977,0.2271,0.0071
0.2342,-0.0435,0.1418,0.0040,0.3545,-0.0766,0.2342,-0.0435
0.1906,0.1636,0.1457,0.0682,0.2779,-0.0306,0.1906,0.1636
0.3543,0.0473,0.2140,0.0645,0.2473,-0.0577,0.3543,0.0473
0.4016,-0.0211,0.2785,-0.1765,0.1897,-0.0304,0.4016,-0.0211
0.3805,0.0592,0.1020,-0.0716,0.1592,0.0991,0.3805,0.0592
0.4397,0.4185,0.0304,0.0819,0.2583,-0.0418,0.4397,0.4185
0.8582,-0.8582,0.1123,0.0383,0.2165,0.0291,0.8582,-0.8582
0.8910,-0.8910,0.1505,-0.0112,0.2455,0.1924,0.8910,-0.8910
0.9250,0.0296,0.1393,0.0028,0.4380,-0.0049,0.9250,0.0296
0.9546,-0.9546,0.1421,-0.0484,0.4331,-0.1579,0.9546,-0.9546
0.6568,-0.6568,0.0937,0.0096,0.2751,0.3377,0.6568,-0.6568
0.8304,-0.8304,0.1033,-0.0115,0.6129,0.3008,0.8304,-0.8304
0.8347,-0.2781,0.0918,-0.0098,0.9137,-0.1442,0.8347,-0.2781
